-6.12413;7.78442;0.999378;3.00062;7.74257e-07;1;87;0.999855;3.00014;4.12947e-08;1;30;0.998496;3.00101;4.25578e-06;1;165;165
;;-3.35831e+64;-3.35831e+64;2.03009e+130;1;1000;0.999939;3.00006;7.64343e-09;1;37;0.999445;3.00037;5.80263e-07;1;74;74
;;0.999463;3.00061;6.80507e-07;1002;33;0.99999;3.00001;2.06614e-10;85;3;1;3;6.54582e-20;73;2;2
6.27073;-9.71319;1.00062;2.99938;7.60109e-07;1;91;1.00012;2.99989;2.52892e-08;1;32;1.0007;2.99831;7.27145e-06;1;174;174
;;-1.06826e+65;-1.06826e+65;2.05411e+131;1;1000;0.999953;3.00005;4.33329e-09;1;43;1.00028;2.99932;1.15915e-06;1;77;77
;;1.00006;2.99994;6.72977e-09;656;21;1;3;2.54982e-13;154;5;1;3;1.66576e-18;74;2;2
-0.0133776;3.92465;0.999393;3.00061;7.37298e-07;1;70;0.999869;3.00014;3.65152e-08;1;25;0.998644;3.00124;3.42371e-06;1;129;129
;;-1.27349e+63;-1.27349e+63;2.91921e+127;1;1000;0.999943;3.00006;7.306e-09;1;15;0.999463;3.00049;5.37976e-07;1;59;59
;;0.999888;3.0001;2.33645e-08;814;24;0.99997;3.00004;2.25194e-09;96;3;1;3;2.17641e-20;80;2;2
-2.31076;-2.83634;1.00058;2.99942;6.65422e-07;1;73;1.00014;2.99987;3.58366e-08;1;27;0.999097;2.99841;2.82485e-05;1;160;160
;;-1.31293e+65;-1.31293e+65;3.10283e+131;1;1000;1.00004;2.99996;3.30646e-09;1;29;0.999667;2.99941;3.84545e-06;1;72;72
;;1;3;1.26511e-11;235;7;1;3;4.75934e-18;171;5;1;3;3.40425e-18;72;2;2
-4.03876;-7.4165;1.00059;2.99941;6.90194e-07;1;80;1.00013;2.99986;3.57559e-08;1;29;0.999177;2.9983;2.90532e-05;1;170;170
;;-2.21838e+65;-2.21838e+65;8.85816e+131;1;1000;1.00007;2.99993;8.67024e-09;1;31;0.999696;2.99937;3.96766e-06;1;76;76
;;1;3;3.82375e-12;228;7;1;3;1.3761e-17;130;4;1;3;5.0846e-18;73;2;2
-7.46277;-6.95486;1.00058;2.99942;6.66101e-07;1;68;1.00012;2.99988;2.85404e-08;1;26;0.998815;2.99861;2.99477e-05;1;173;173
;;-2.64358e+65;-2.64358e+65;1.25794e+132;1;1000;0.999958;3.00004;3.7808e-09;1;31;0.999551;2.99947;4.30852e-06;1;77;77
;;1;3;2.52237e-12;169;5;0.999986;3.00001;4.94078e-10;127;4;1;3;0;138;3;3
-6.12237;2.95973;0.999373;3.00063;7.85355e-07;1;82;0.99984;3.00015;4.85873e-08;1;29;0.998154;2.99999;1.71848e-05;1;161;161
